JobTitle,Sector,AutomationRisk,EmploymentGrowth,AverageSalary,RequiredEducation
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
Data Entry Clerk,Administrative,0.95,-0.12,45000,High School
Software Engineer,Technology,0.08,0.22,115000,Bachelors
Graphic Designer,Creative,0.25,0.04,62000,Bachelors
Financial Analyst,Finance,0.35,0.08,85000,Bachelors
Marketing Manager,Marketing,0.12,0.1,95000,Bachelors
